Activity,Total energy ,Electronic energy ,Heat of formation ,HOMO eigenvalue ,LUMO eigenvalue ,Molecular surface area ,Total dipole ,Dipole x ,Dipole y ,Mean polarizability ,Total molecular mass ,Atom count ,Element count ,Rotatable bonds ,Hydrogen bond acceptor ,AlogP ,AlogP98 ,Molecular refractivity ,Molecular flexibility ,Balaban index JX ,Balaban index JY ,Wiener index ,Zagreb index ,Kappa-1 ,Kappa-2 ,Kappa-3 ,Kappa-1 (alpha modified) ,Kappa-2 (alpha modified) ,Kappa-3 (alpha modified) ,Subgraph counts (0): path ,Subgraph counts (1): path ,Subgraph counts (2): path ,Subgraph counts (3): path ,Subgraph counts (3): cluster ,Chi (0) ,Chi (1) ,Chi (2) ,Chi (3): path ,Chi (3): cluster ,Chi (0),Chi (1),Chi (2)-1,Chi (3): path,Chi (3): cluster-1,Edge adjacency/magnitude ,Edge distance/magnitude ,Vertex adjacency/equality ,Vertex adjacency/magnitude ,Vertex distance/equality ,Vertex distance/magnitude ,Atomic composition (total) ,E-state keys (sums): S_sCH3 ,E-state keys (sums): S_ssCH2 ,E-state keys (sums): S_aaCH ,E-state keys (sums): S_dssC ,E-state keys (sums): S_aasC ,E-state keys (sums): S_dO ,Molecular area,Molecular volume,Molecular density ,Radius of gyration ,Ellipsoidal volume ,Shadow area: XY plane ,Shadow area: YZ plane ,Shadow area: ZX plane ,Shadow area fraction: XY plane ,Shadow area fraction: YZ plane ,Shadow area fraction: ZX plane ,Shadow length: LX ,Shadow length: LY ,Shadow length: LZ ,Shadow ratio ,Connolly surface area ,Connolly surface occupied volume ,Solvent surface area,Solvent surface occupied volume,Total energy ,Valence energy (diag. terms) ,Bond energy ,Angle energy ,Torsion energy ,Inversion energy 
1.6464,-5579.9,-43473.4,469.17,-7.91,-1.53,523.85,5.508,-3.343,2.4,53.9627,517.87,55,24,12,6,3.13,4.718,126.606,8.179,1.761,1.829,3210,160,26.602,13.185,7.014,23.678,11.053,5.643,32,34,46,61,10,23.087,15.456,13.28,11.172,1.852,20.36,12.552,9.39,6.69,0.838,600.17,11407,360.8,413.9,3996.1,9933.4,93.894,3.703,3.152,12.846,0.946,2.901,25.655,524.76,439.46,1.178,5.199,2807.72,135.35,59.74,90.78,0.545,0.5385,0.549,19.2386,12.9101,8.5942,2.2386,450.98,463.93,748.47,1316.14,620.88,584.26,515.24,58.256,10.416,0.349
1.47129,-4044.2,-30978.6,430.23,-7.6,-1.46,416.81,2.409,0.484,1.948,44.0094,401.37,47,20,10,3,4.054,5.021,106.632,7.184,1.944,1.994,1744,118,21.302,11.658,7.26,18.695,9.606,5.736,25,26,33,40,6,18.071,12.113,10.111,8.053,1.217,16.255,10.26,7.565,5.249,0.575,398.93,6136.7,258.3,296.4,2348.5,5605.8,72.52,4.161,2.19,13.919,-0.236,5.287,12.061,415.98,355.27,1.13,4.21,916.27,110.63,59.81,62.19,0.6596,0.6671,0.6497,13.3824,12.5334,7.1534,1.8708,360.85,376.78,600,1058.13,536.45,443.1,424.92,11.177,6.905,0.094
1.48287,-4706.4,-40217,311.36,-7.61,-1.28,465.71,4.062,-2.107,1.738,47.8676,447.44,56,22,11,4,2.334,4.763,115.09,6.876,1.667,1.722,2215,142,22.68,10.858,5.202,20.571,9.358,4.316,28,30,41,57,10,19.985,13.647,11.388,10.023,1.591,18.389,12.15,8.977,6.922,0.818,521.32,8536.1,305.6,354.4,2961.9,7289,85.744,4.407,7.329,2.237,1.421,2.813,12.247,464.44,397.34,1.126,4.452,1248.57,110.26,56.88,81.84,0.7495,0.7597,0.6311,15.9633,9.2162,8.1232,1.9651,388.07,426.98,642.38,1158.12,559.48,439.21,372.24,62.695,3.601,0.673
1.39094,-5284.6,-36009.6,-237.93,-8.14,-1.2,406.86,1.652,-0.467,1.161,37.119,433.33,47,19,9,6,4.983,7.85,100.735,7.172,1.812,1.889,2091,128,22.291,10.519,7.881,20.393,9.144,6.729,26,27,37,41,10,19.156,12.281,11.659,8.042,2.789,16.35,10.291,8.379,5.651,1.076,459.5,6668.6,271.6,310.8,2662.3,6117.7,78.607,3.97,0.878,0,-0.258,0,11.961,402.89,333.87,1.298,4.884,791.3,99.5,44.94,83.54,0.6104,0.6994,0.6729,17.7472,9.1852,6.996,2.5368,347.42,355.19,604.51,1029.29,84.81,43.27,21.1,18.627,3.535,0.007
1.71181,-5302.4,-36123.3,305.57,-7.77,-1.22,434.27,6.038,-2.321,5.554,41.0381,441.31,44,19,10,6,4.003,4.991,102.523,7.381,1.939,2.026,2168,130,23.281,11.87,8.49,20.462,9.739,6.756,27,28,37,42,9,19.7,12.897,11.68,8.216,2.336,15.966,10.154,7.397,4.844,0.534,459.5,7285.6,284.9,325.2,2804.8,6701.1,81.263,0,1.63,11.762,-0.419,0.704,11.977,433.63,357.11,1.236,4.148,927.13,95.97,68.15,82.65,0.5594,0.6644,0.6591,14.4825,11.8463,8.6587,1.6726,368.76,382,629.17,1093.14,697.73,452.7,437.43,9.829,5.414,0.029
1.65992,-5499.9,-42128.8,470.78,-8.03,-1.95,538.5,8.754,2.767,-5.741,55.885,516.49,56,25,11,5,5.374,5.792,127.554,8.291,1.736,1.782,3366,160,26.602,13.185,7.498,23.806,11.144,6.114,32,34,46,59,10,23.087,15.401,13.579,10.901,2.018,20.55,13.851,10.613,7.515,1.102,600.17,11395.8,360.8,413.9,4087.3,9920.2,94.321,3.693,2.653,11.52,2.939,3.815,23.831,537.54,446.08,1.158,5.63,1708.52,137.34,55.88,95.03,0.5493,0.6173,0.6333,20.3563,12.2818,7.3714,2.7615,460.02,473.85,765.54,1342.06,630.55,574.92,470.57,87.826,13.713,2.811
1.75664,-4270.2,-28948.9,428.28,-7.83,-1.35,446.09,5.62,-0.112,-3.292,43.9181,414.36,47,21,11,4,3.817,4.611,107.788,7.726,1.889,1.931,2014,122,22.291,12.457,7.881,19.553,10.273,6.239,26,27,34,41,6,18.778,12.613,10.465,8.272,1.217,16.395,10.545,7.785,5.25,0.577,413.95,6683.8,271.6,310.8,2621.6,6130.1,71.833,1.951,2.165,16.561,-0.275,2.208,24.509,442.14,365.75,1.133,5.628,1346.57,97.92,57.64,106.85,0.4306,0.5933,0.5857,20.6635,11.0046,8.8286,2.3405,406.12,380.72,716.59,1174.65,821.55,460.39,445.81,8.896,5.596,0.087
1.43616,-3615,-23883.8,296.93,-8.06,-1.55,334.57,8.847,-2.657,7.587,31.7451,340.24,35,14,10,5,1.367,2.266,79.195,7.185,2.346,2.461,984,88,18.05,10.688,8.148,16.026,8.967,6.645,20,20,24,26,4,14.795,9.63,7.978,5.346,1.03,12.839,8.128,5.737,3.584,0.303,268.08,3321.4,187.6,212.9,1437.7,3324.5,59.619,1.312,1.858,6.861,-0.793,0.999,22.621,334.44,279.72,1.216,3.325,523.19,74.04,52.17,57.56,0.6177,0.5862,0.6002,11.366,10.5467,8.4374,1.3471,274.79,298.29,482.78,833.54,362.4,400.27,377.26,10.694,12.284,0.032
1.86629,-5549.7,-36992.8,84.32,-7.98,-1.67,429.68,3.103,-0.237,0.589,40.7576,447.33,47,20,9,6,6.058,7.205,103.174,7.536,1.798,1.871,2320,132,23.281,11.253,8.49,21.094,9.646,7.134,27,28,38,42,10,19.864,12.76,12.091,8.234,2.79,16.474,10.54,8.512,5.658,1.051,474.84,7254.6,284.9,325.2,2893,6679,78.189,1.849,0.343,13.284,-0.445,2.717,11.861,428.33,363.34,1.231,4.867,899.37,96.62,49.56,98.52,0.596,0.6581,0.6044,18.7314,8.6553,8.7018,2.1641,369.1,383.84,633.55,1093.76,339.16,296.37,280.11,14.561,1.68,0.019
1.68574,-4882.6,-35326,-12.2,-8.55,-1.94,407.03,7.263,4.505,-3.457,37.4892,409.35,49,18,10,5,5.824,6.961,96.613,8.463,2.223,2.309,1753,112,22.042,10.871,10.576,20.684,9.82,9.524,24,24,32,31,9,18.165,11.171,10.889,6.399,2.864,16.071,10.19,8.746,5.204,1.367,384,5070.4,238.4,268.1,2250.3,5077.8,77.211,6.288,1.654,8.218,-0.353,2.343,11.76,406.38,345.29,1.186,4.006,761.39,92.04,55.04,71.2,0.6328,0.6897,0.6842,13.772,10.5613,7.5563,1.8226,333.82,371.5,559.82,1005.29,321.36,196.71,182.24,10.55,3.814,0.104
